,Route_name,Route_link
0,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
1,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
2,Hyderabad to Ongole,https://www.redbus.in/bus-tickets/hyderabad-to-ongole
3,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
4,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
5,Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
6,Ongole to Hyderabad,https://www.redbus.in/bus-tickets/ongole-to-hyderabad
7,Kadapa to Bangalore,https://www.redbus.in/bus-tickets/kadapa-to-bangalore
8,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
9,Visakhapatnam to Kakinada,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada
10,Bangalore to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/bangalore-to-ananthapur
11,Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh
12,Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore
13,Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool
14,Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore
15,Narasaraopet to Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad
16,Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
17,Hyderabad to Vinukonda,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda
18,Visakhapatnam to Vijayawada,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada
19,Bangalore to Rayachoti,https://www.redbus.in/bus-tickets/bangalore-to-rayachoti
20,Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur
21,Guntur (Andhra Pradesh) to Hyderabad,https://www.redbus.in/bus-tickets/guntur-to-hyderabad
22,Hyderabad to Eluru,https://www.redbus.in/bus-tickets/hyderabad-to-eluru
23,Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad
24,Bangalore to Kadiri,https://www.redbus.in/bus-tickets/bangalore-to-kadiri
25,Madanapalli to Bangalore,https://www.redbus.in/bus-tickets/madanapalli-to-bangalore
26,Bangalore to Madanapalli,https://www.redbus.in/bus-tickets/bangalore-to-madanapalli
27,Macherla (andhra pradesh) to Hyderabad,https://www.redbus.in/bus-tickets/macherla-to-hyderabad
28,Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam
29,Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad
30,Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
31,Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad
32,Kadiri to Bangalore,https://www.redbus.in/bus-tickets/kadiri-to-bangalore
33,Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
34,Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki
35,Hyderabad to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-ananthapur
36,Hyderabad to Markapuram,https://www.redbus.in/bus-tickets/hyderabad-to-markapuram
37,Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada
38,Tirupati to Chennai,https://www.redbus.in/bus-tickets/tirupathi-to-chennai
39,Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam
40,Hyderabad to Macherla (andhra pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-macherla
41,Hyderabad to Rajahmundry,https://www.redbus.in/bus-tickets/hyderabad-to-rajahmundry
42,Chilakaluripet to Hyderabad,https://www.redbus.in/bus-tickets/chilakaluripet-to-hyderabad
43,Rajahmundry to Hyderabad,https://www.redbus.in/bus-tickets/rajahmundry-to-hyderabad
44,Kurnool to Bangalore,https://www.redbus.in/bus-tickets/kurnool-to-bangalore
45,Hyderabad to Nandyal,https://www.redbus.in/bus-tickets/hyderabad-to-nandyala
