,Route_name,Route_link
0,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
1,Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune
2,Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa
3,Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa
4,Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore
5,Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai
6,Pandharpur to Goa,https://www.redbus.in/bus-tickets/pandharpur-to-goa
7,Goa to Pandharpur,https://www.redbus.in/bus-tickets/goa-to-pandharpur
8,Solapur to Goa,https://www.redbus.in/bus-tickets/solapur-to-goa
9,Calangute (goa) to Goa Airport,https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport
10,Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
11,Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur
12,Goa to Sangli,https://www.redbus.in/bus-tickets/goa-to-sangli
13,Goa Airport to Calangute (goa),https://www.redbus.in/bus-tickets/goa-airport-to-calangute-goa
14,Goa to Sangola (Solapur),https://www.redbus.in/bus-tickets/goa-to-sangola
15,Sangola (Solapur) to Goa,https://www.redbus.in/bus-tickets/sangola-to-goa
16,Mopa Airport to Calangute (goa),https://www.redbus.in/bus-tickets/mopa-airport-to-calangute-goa
17,Calangute (goa) to Mopa Airport,https://www.redbus.in/bus-tickets/calangute-goa-to-mopa-airport
18,Goa to Mopa Airport,https://www.redbus.in/bus-tickets/goa-to-mopa-airport
19,Goa to Miraj,https://www.redbus.in/bus-tickets/goa-to-miraj
20,Panaji to Goa Airport,https://www.redbus.in/bus-tickets/panaji-to-goa-airport
21,Mopa Airport to Goa,https://www.redbus.in/bus-tickets/mopa-airport-to-goa
22,Shivamogga to Goa,https://www.redbus.in/bus-tickets/shimoga-to-goa
23,Margao to Mopa Airport,https://www.redbus.in/bus-tickets/margoa-to-mopa-airport
24,Goa Airport to Goa,https://www.redbus.in/bus-tickets/goa-airport-to-goa
25,Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara
26,Goa to Goa Airport,https://www.redbus.in/bus-tickets/goa-to-goa-airport
27,Goa Airport to Panaji,https://www.redbus.in/bus-tickets/goa-airport-to-panaji
28,Goa to Shirdi,https://www.redbus.in/bus-tickets/goa-to-shirdi
29,Calangute (goa) to Panaji,https://www.redbus.in/bus-tickets/calangute-goa-to-panaji
30,Mopa Airport to Margao,https://www.redbus.in/bus-tickets/mopa-airport-to-margoa
31,Goa to Shivamogga,https://www.redbus.in/bus-tickets/goa-to-shimoga
32,Calangute (goa) to Goa,https://www.redbus.in/bus-tickets/calangute-goa-to-goa
33,Belagavi to Goa,https://www.redbus.in/bus-tickets/belagavi-to-goa
