,Route_name,Route_link
0,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
1,Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
2,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
3,Shimla to Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi
4,Delhi to Chandigarh,https://www.redbus.in/bus-tickets/delhi-to-chandigarh
5,Hamirpur (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-delhi
6,Chamba (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/chamba-himachal-pradesh-to-chandigarh
7,Delhi to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-hamirpur-himachal-pradesh
8,Chandigarh to Dharamshala (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-dharamshala
9,Delhi to Chamba (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-chamba-himachal-pradesh
10,Chamba (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/chamba-himachal-pradesh-to-delhi
11,Kangra to Chandigarh,https://www.redbus.in/bus-tickets/kangra-to-chandigarh
12,Shimla to Chandigarh,https://www.redbus.in/bus-tickets/shimla-to-chandigarh
13,Delhi to Baddi (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-baddi-himachal-pradesh
14,Delhi to Solan,https://www.redbus.in/bus-tickets/delhi-to-solan
15,Delhi to Nalagarh,https://www.redbus.in/bus-tickets/delhi-to-nalagarh
16,Dharamshala (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/dharamshala-to-chandigarh
17,Palampur to Chandigarh,https://www.redbus.in/bus-tickets/palampur-to-chandigarh
18,Ghumarwin to Delhi,https://www.redbus.in/bus-tickets/ghumarwin-to-delhi
19,Chandigarh to Kangra,https://www.redbus.in/bus-tickets/chandigarh-to-kangra
20,Baddi (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/baddi-himachal-pradesh-to-delhi
21,Manali to Chandigarh,https://www.redbus.in/bus-tickets/manali-to-chandigarh
22,Solan to Delhi,https://www.redbus.in/bus-tickets/solan-to-delhi
23,Chandigarh to Manali,https://www.redbus.in/bus-tickets/chandigarh-to-manali
24,Delhi to Sarkaghat,https://www.redbus.in/bus-tickets/delhi-to-sarkaghat
25,Ghumarwin to Chandigarh,https://www.redbus.in/bus-tickets/ghumarwin-to-chandigarh
26,Chandigarh to Kullu,https://www.redbus.in/bus-tickets/chandigarh-to-kullu
27,Delhi to Bilaspur (Himachal Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bilaspur-himachal-pradesh
28,Delhi to Ghumarwin,https://www.redbus.in/bus-tickets/delhi-to-ghumarwin
29,Chamba (Himachal Pradesh) to Shimla,https://www.redbus.in/bus-tickets/chamba-himachal-pradesh-to-shimla
30,Delhi to Palampur,https://www.redbus.in/bus-tickets/delhi-to-palampur
31,Chandigarh to Reckong Peo (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-reckong-peo-himachal-pradesh
32,Bilaspur (Himachal Pradesh) to Delhi,https://www.redbus.in/bus-tickets/bilaspur-himachal-pradesh-to-delhi
33,Sarkaghat to Delhi,https://www.redbus.in/bus-tickets/sarkaghat-to-delhi
34,Manali to Delhi,https://www.redbus.in/bus-tickets/manali-to-delhi
