,Route_name,Route_link
0,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
1,Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
3,Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
4,Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur
5,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
6,Kannur to Bangalore,https://www.redbus.in/bus-tickets/kannur-to-bangalore
7,Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram
8,Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
9,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
10,Kalpetta (kerala) to Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
11,Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
12,Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
13,Kozhikode to Kottayam,https://www.redbus.in/bus-tickets/kozhikode-to-kottayam
14,Kottayam to Kozhikode,https://www.redbus.in/bus-tickets/kottayam-to-kozhikode
