,Route_name,Route_link
0,Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
1,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
2,Haldia to Calcutta,https://www.redbus.in/bus-tickets/haldia-to-kolkata
3,Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia
4,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
5,Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal
6,Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata
7,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
8,Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata
9,Kolkata to Bankura,https://www.redbus.in/bus-tickets/kolkata-to-bankura
10,Kolkata to Midnapore,https://www.redbus.in/bus-tickets/kolkata-to-midnapore
11,Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol
12,Kolkata to Nimtouri,https://www.redbus.in/bus-tickets/kolkata-to-nimtouri
13,Jhargram to Kolkata,https://www.redbus.in/bus-tickets/jhargram-to-kolkata
14,Kolkata to Contai (Kanthi),https://www.redbus.in/bus-tickets/kolkata-to-contai-kanthi
15,Kolkata to Kolaghat,https://www.redbus.in/bus-tickets/kolkata-to-kolaghat
16,Kolkata to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/kolkata-to-nandakumar
17,Kolkata to Mecheda (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-mecheda-west-bengal
18,Digha to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/digha-to-durgapur
19,Midnapore to Barasat (West Bengal),https://www.redbus.in/bus-tickets/midnapore-to-barasat-west-bengal
20,Durgapur (West Bengal) to Digha,https://www.redbus.in/bus-tickets/durgapur-to-digha
21,Kolkata to Chandipur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-chandipur-west-bengal
22,Barasat (West Bengal) to Midnapore,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-midnapore
23,Kolkata to Debra,https://www.redbus.in/bus-tickets/kolkata-to-debra
24,Kirnahar (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/kirnahar-west-bengal-to-kolkata
25,Kolkata to Panskura,https://www.redbus.in/bus-tickets/kolkata-to-panskura
26,Kolkata to Heria,https://www.redbus.in/bus-tickets/kolkata-to-heria
27,Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
28,Illambazar to Kolkata,https://www.redbus.in/bus-tickets/illambazar-to-kolkata
29,Kolkata to Suri,https://www.redbus.in/bus-tickets/kolkata-to-suri
30,Berhampore (West Bengal) to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/berhampore-to-durgapur
31,Purulia to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/purulia-to-durgapur
32,Durgapur (West Bengal) to Berhampore (West Bengal),https://www.redbus.in/bus-tickets/durgapur-to-berhampore
33,Kolkata to Futishanko,https://www.redbus.in/bus-tickets/kolkata-to-futishanko
34,Kolkata to Kirnahar (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-kirnahar-west-bengal
35,Durgapur (West Bengal) to Barasat (West Bengal),https://www.redbus.in/bus-tickets/durgapur-to-barasat-west-bengal
36,Kolkata to Ramnagar (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-ramnagar-west-bengal
37,Durgapur (West Bengal) to Purulia,https://www.redbus.in/bus-tickets/durgapur-to-purulia
38,Durgapur (West Bengal) to Bankura,https://www.redbus.in/bus-tickets/durgapur-to-bankura
39,Kolkata to Ashari,https://www.redbus.in/bus-tickets/kolkata-to-ashari
40,Barasat (West Bengal) to Digha,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha
