,Route_name,Route_link
0,Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly
1,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
2,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi
3,Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
4,Lucknow to Allahabad,https://www.redbus.in/bus-tickets/lucknow-to-allahabad
5,Lucknow to Delhi,https://www.redbus.in/bus-tickets/lucknow-to-delhi
6,Delhi to Farrukhabad (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up
7,Farrukhabad (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi
8,Badaun to Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi
9,Allahabad to Lucknow,https://www.redbus.in/bus-tickets/allahabad-to-lucknow
10,Lucknow to Agra,https://www.redbus.in/bus-tickets/lucknow-to-agra
11,Sitapur (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/sitapur-to-delhi
12,Delhi to Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun
13,Delhi to Sitapur (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-sitapur
14,Agra to Delhi,https://www.redbus.in/bus-tickets/agra-to-delhi
15,Delhi to Moradabad,https://www.redbus.in/bus-tickets/delhi-to-moradabad
16,Delhi to Lucknow,https://www.redbus.in/bus-tickets/delhi-to-lucknow
17,Agra to Lucknow,https://www.redbus.in/bus-tickets/agra-to-lucknow
18,Lucknow to Varanasi,https://www.redbus.in/bus-tickets/lucknow-to-varanasi
19,Agra to Bareilly,https://www.redbus.in/bus-tickets/agra-to-bareilly
20,Lucknow to Bareilly,https://www.redbus.in/bus-tickets/lucknow-to-bareilly
21,Bareilly to Agra,https://www.redbus.in/bus-tickets/bareilly-to-agra
22,Delhi to Agra,https://www.redbus.in/bus-tickets/delhi-to-agra
23,Varanasi to Lucknow,https://www.redbus.in/bus-tickets/varanasi-to-lucknow
24,Moradabad to Delhi,https://www.redbus.in/bus-tickets/moradabad-to-delhi
25,Kanpur (Uttar Pradesh) to Jhansi,https://www.redbus.in/bus-tickets/kanpur-to-jhansi
26,Delhi to Shahjahanpur (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-shahjahanpur
27,Shahjahanpur (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/shahjahanpur-to-delhi
28,Gorakhpur (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/gorakhpur-to-lucknow
29,Kanpur (Uttar Pradesh) to Bareilly,https://www.redbus.in/bus-tickets/kanpur-to-bareilly
30,Lucknow to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-aligarh
31,Lucknow to Kanpur (Uttar Pradesh),https://www.redbus.in/bus-tickets/lucknow-to-kanpur
32,Delhi to Pilibhit,https://www.redbus.in/bus-tickets/delhi-to-pilibhit
33,Lucknow to Ballia,https://www.redbus.in/bus-tickets/lucknow-to-ballia
34,Delhi to Etah (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-etah-up
35,Lucknow to Gorakhpur (uttar pradesh),https://www.redbus.in/bus-tickets/lucknow-to-gorakhpur
36,Aligarh (uttar pradesh) to Lucknow,https://www.redbus.in/bus-tickets/aligarh-to-lucknow
37,Aligarh (uttar pradesh) to Agra,https://www.redbus.in/bus-tickets/aligarh-to-agra
38,Bareilly to Dehradun,https://www.redbus.in/bus-tickets/bareilly-to-dehradun
39,Pilibhit to Delhi,https://www.redbus.in/bus-tickets/pilibhit-to-delhi
40,Bareilly to Lucknow,https://www.redbus.in/bus-tickets/bareilly-to-lucknow
41,Delhi to Dehradun,https://www.redbus.in/bus-tickets/delhi-to-dehradun
42,Varanasi to Allahabad,https://www.redbus.in/bus-tickets/varanasi-to-allahabad
43,Lucknow to Mathura,https://www.redbus.in/bus-tickets/lucknow-to-mathura
44,Jhansi to Kanpur (Uttar Pradesh),https://www.redbus.in/bus-tickets/jhansi-to-kanpur
45,Dehradun to Bareilly,https://www.redbus.in/bus-tickets/dehradun-to-bareilly
46,Kanpur (Uttar Pradesh) to Lucknow,https://www.redbus.in/bus-tickets/kanpur-to-lucknow
47,Aligarh (uttar pradesh) to Greater noida (uttar pradesh),https://www.redbus.in/bus-tickets/aligarh-to-greater-noida
48,Etah (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/etah-up-to-delhi
