,Route_name,Route_link
0,Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
1,Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
2,Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata
3,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
4,Barasat (West Bengal) to Digha,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha
5,Kolkata to Suri,https://www.redbus.in/bus-tickets/kolkata-to-suri
6,Barasat (West Bengal) to Midnapore,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-midnapore
7,Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata
8,Barasat (West Bengal) to Kolaghat,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-kolaghat
9,Barasat (West Bengal) to Contai (Kanthi),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-contai-kanthi
10,Habra to Digha,https://www.redbus.in/bus-tickets/habra-to-digha
11,Barasat (West Bengal) to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-nandakumar
12,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
13,Digha to Habra,https://www.redbus.in/bus-tickets/digha-to-habra
14,Midnapore to Barasat (West Bengal),https://www.redbus.in/bus-tickets/midnapore-to-barasat-west-bengal
15,Kolkata to Bolpur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-bolpur-west-bengal
16,Barasat (West Bengal) to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-durgapur
17,Barasat (West Bengal) to Heria,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-heria
18,Haldia to Barasat (West Bengal),https://www.redbus.in/bus-tickets/haldia-to-barasat-west-bengal
19,Barasat (West Bengal) to Haldia,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-haldia
20,Haldia to Kolkata,https://www.redbus.in/bus-tickets/haldia-to-kolkata
21,Barasat (West Bengal) to Debra,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-debra
22,Barasat (West Bengal) to Burdwan,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-burdwan
23,Kolkata to Bakkhali,https://www.redbus.in/bus-tickets/kolkata-to-bakkhali
24,Kolkata to Purulia,https://www.redbus.in/bus-tickets/kolkata-to-purulia
25,Durgapur (West Bengal) to Purulia,https://www.redbus.in/bus-tickets/durgapur-to-purulia
26,Habra to Midnapore,https://www.redbus.in/bus-tickets/habra-to-midnapore
27,Kolkata to Asansol (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-asansol
28,Durgapur (West Bengal) to Barasat (West Bengal),https://www.redbus.in/bus-tickets/durgapur-to-barasat-west-bengal
29,Barasat (West Bengal) to Asansol (West Bengal),https://www.redbus.in/bus-tickets/barasat-west-bengal-to-asansol
30,Jayrambati (West Bengal) to Barasat (West Bengal),https://www.redbus.in/bus-tickets/jayrambati-west-bengal-to-barasat-west-bengal
31,Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia
32,Habra to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/habra-to-durgapur
33,Habra to Nandakumar (west bengal),https://www.redbus.in/bus-tickets/habra-to-nandakumar
34,Habra to Kolaghat,https://www.redbus.in/bus-tickets/habra-to-kolaghat
35,Kolkata to Mayapur ISKCON,https://www.redbus.in/bus-tickets/kolkata-to-mayapur-iskcon
36,Habra to Heria,https://www.redbus.in/bus-tickets/habra-to-heria
37,Midnapore to Kolkata Airport,https://www.redbus.in/bus-tickets/midnapore-to-kolkata-airport
